,min_variance,utility_ra2,utility_ra10,utility_ra50,max_sharpe,risk_parity,equal_weight,buy_and_hold_equal,nifty50
2024-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-02,0.0,-0.02331712720606882,-0.01639111970152307,-0.008274836056775037,-0.014358333474984941,-0.009519200125417182,-0.012441262725225388,-0.012384752054887316,-0.011722935491954689
2024-08-05,0.0,-0.05942410135173626,-0.04146020895504965,-0.02562386031806385,-0.03518898272480464,-0.028939428355928665,-0.03513061567528897,-0.03506344833064534,-0.038195377468620895
2024-08-06,0.0,-0.07460548739158923,-0.05306217700892546,-0.034759583674055294,-0.047052838598748536,-0.0347887557191624,-0.040877415264350736,-0.04083408964292001,-0.04071623146189152
2024-08-07,0.0,-0.031748956841714526,-0.015708452485535873,-0.019741384126016226,-0.017761960164038526,-0.021175152585978463,-0.02446570074443022,-0.02436839164762239,-0.0285235788989191
2024-08-08,0.0,-0.024714227085527507,-0.013318271002988769,-0.022123954507418886,-0.01744222270240725,-0.02431803436263058,-0.02774739185948727,-0.02762017859151611,-0.03574043223809997
2024-08-09,0.0,-0.001869093921284759,0.0,-0.012935169377641054,-0.004830484516818889,-0.014681328122970516,-0.01707732263655204,-0.016935657213299815,-0.02572479921059423
2024-08-12,0.0,-0.004468274007203843,0.0,-0.012277594756671228,-0.003406860666083422,-0.015334449564604391,-0.017741973030449887,-0.017596528885843843,-0.026544441833603605
2024-08-13,0.0,-0.007440516641888051,-0.0007215090621460751,-0.008693202364137176,-0.002184172981685162,-0.014888186374856005,-0.018404012569723682,-0.018260872408233597,-0.03486081576462641
2024-08-14,0.0,-0.015512087613475889,-0.010890801881820344,-0.010895061449557542,-0.009132051640909689,-0.016126462017503562,-0.01987678306839591,-0.019767010366507742,-0.03467089857149008
2024-08-16,0.0,-0.006727255638213303,-0.003358187670344015,-0.0034585123156256614,-0.001828934869219201,-0.005351626885508498,-0.008450402378898048,-0.008377305422278991,-0.01878181083700925
2024-08-19,0.0,-0.003094941219579872,0.0,0.0,0.0,-0.0016490412854596181,-0.0052605388912996265,-0.005171470893882257,-0.017522359977263036
2024-08-20,0.0,-0.0018521497426726707,0.0,0.0,0.0,0.0,0.0,0.0,-0.012476591261263326
2024-08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009623850725710925
2024-08-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007972539473218743
2024-08-23,0.0,-0.007580700191680889,-0.0025628143292875105,-0.0007403872771108988,-0.00039070314108724524,-0.000620542723346662,-0.0004717617573548605,-0.0005188005848280053,-0.007506726949757292
2024-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2026006473320194e-05
2024-08-27,0.0,0.0,0.0,0.0,0.0,-0.0012372718594212406,-0.0009360526993769103,-0.0009040844408400028,0.0
2024-08-28,0.0,0.0,0.0,0.0,0.0,-0.0013900146000959124,-0.0006647825257275475,-0.000647527266475656,0.0
2024-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-02,0.0,-0.007302196387105386,-0.0006295707820637153,-0.0015590947226528096,-0.0007720313271240009,-0.00024510581691550293,-0.0002072709272412654,-0.00021251048435455555,0.0
2024-09-03,0.0,-0.000745044077346102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-04,0.0,-6.390961161029107e-05,0.0,-0.0008187980000039508,0.0,-0.0016727019062727777,-0.002073034408640484,-0.0019591055651566602,-0.0032100820170584132
2024-09-05,0.0,0.0,0.0,0.0,0.0,-0.00031659605759204457,-0.0014946554388125532,-0.0013256149396970729,-0.005330332343038369
2024-09-06,0.0,-0.009521008337765036,-0.007967292961547079,-0.004771960648693341,-0.0059472697404879815,-0.007882612237045228,-0.011553929238233174,-0.011194785575979305,-0.016918582402934423
2024-09-09,0.0,-0.017623861891888914,-0.014969749672386845,-0.00507138265823992,-0.011740760387546567,-0.006665444659565867,-0.011460489603340673,-0.011285716781187727,-0.013585888526118195
2024-09-10,0.0,-0.015071393637916208,-0.012651836361028956,-0.0013169040403970822,-0.008671087420466628,-0.0026605558798186157,-0.007376201657511849,-0.007151243491090531,-0.009444280867535682
2024-09-11,0.0,-0.01764139731849823,-0.014054737955304097,-0.0002851095817264504,-0.008300516801058477,-0.005112323387959972,-0.011444189869904364,-0.011048518883860381,-0.014295986574658026
2024-09-12,0.0,-0.0006349814144062105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-13,0.0,-0.00023309791435799365,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012761636040357072
2024-09-16,0.0,-0.0035704453689830995,-0.003384514337740341,0.0,-0.0010436040812134006,-0.00010936158118846073,-0.000721939813707162,-0.0007631542453565565,-0.00020285993271706992
2024-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-18,0.0,-0.015057750524452906,-0.013758343693648367,-0.0062614330418206965,-0.012810240227418945,-0.004727593586684065,-0.005772078333251995,-0.006109867482814391,-0.0016129951842197565
2024-09-19,0.0,-0.018238111940461543,-0.016548626836601632,-0.003117545847859504,-0.013347072668961402,-0.0024273752939989457,-0.004768944869855685,-0.005236372899075192,-0.00010818870138074033
2024-09-20,0.0,-0.015384035607593827,-0.01612740304630944,0.0,-0.011664618758223333,0.0,0.0,0.0,0.0
2024-09-23,0.0,-0.0025703951974015427,-0.005727939967525741,0.0,-0.0038676016642906763,0.0,0.0,0.0,0.0
2024-09-24,0.0,-0.0006245528582278226,-0.003776355041007151,-0.0004083498103447658,-0.002588263558684245,-0.0005548202261910218,0.0,0.0,0.0
2024-09-25,0.0,-0.006387435441589928,-0.0074232897133016396,0.0,-0.0037478635220603573,-0.0008577569608073654,-0.0013705255229814473,-0.0013220586510386267,0.0
2024-09-26,0.0,-0.004669512483489235,-0.006351729521530625,0.0,-0.0010376518523547151,0.0,0.0,0.0,0.0
2024-09-27,0.0,-0.000659770364882406,-0.003542393412267808,0.0,0.0,0.0,0.0,0.0,-0.0014152231703233875
2024-09-30,0.0,-0.01732947266237761,-0.023639327944427024,-0.012707638814661193,-0.01778364401507837,-0.011094728871871129,-0.012072300388892065,-0.012238153672605723,-0.015456224709665456
2024-10-01,0.0,-0.011932274063662596,-0.01916756300049871,-0.010963227559209088,-0.013994541387557402,-0.01051359285722675,-0.011042968465728276,-0.011101763749228777,-0.015988311669154376
2024-10-03,0.0,-0.03707823246379249,-0.03994014124135503,-0.021134000279720788,-0.028689701718462857,-0.02351089969407627,-0.026102065309324907,-0.02622187665874076,-0.036845792676212796
2024-10-04,0.0,-0.051842549152887774,-0.05243232397758357,-0.027859621697380987,-0.03749144679627037,-0.02996185175513233,-0.03233656372626015,-0.032712099107979786,-0.045828839053603465
2024-10-07,0.0,-0.05755268190610541,-0.057623004731324756,-0.032911809878542475,-0.04215844955654513,-0.037922020512174526,-0.04159814925742089,-0.04162404324858915,-0.05417676343020428
2024-10-08,0.0,-0.042140373278814036,-0.04383588977358954,-0.027946476867080405,-0.032749252870862944,-0.031137688706206257,-0.032668746793926395,-0.03296140309422613,-0.04588411888053445
2024-10-09,0.0,-0.026848047451693113,-0.030551524987480372,-0.02732822887940556,-0.02483329309420257,-0.03182759165583471,-0.031821399151273466,-0.032039122048524216,-0.04707427418406751
2024-10-10,0.0,-0.052229860120077465,-0.054020150212616636,-0.03814155937781061,-0.04290928073983946,-0.040612383992002066,-0.04122577558515872,-0.041810100790253046,-0.04644488876909114
2024-10-11,0.0,-0.031791081329886506,-0.03675335155588211,-0.031025314968470163,-0.02863310545517439,-0.03602081649448918,-0.03608184650399704,-0.036356693797383266,-0.047749403283323666
